stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249303,Chirgaon,Chirgaon,801020,5,Municipality,856,Moth,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249342,Chitrakoot Dham - Karwi,Chitrakoot Dham - Karwi,801059,5,Municipality,875,Karwi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249543,Chunar,Chunar,801246,5,Municipality,1003,Chunar,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249421,Colonelganj,Colonelganj,801136,5,Municipality,929,Colonelganj,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248996,Dadri,Dadri,800740,5,Municipality,742,Dadri,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249013,Debai,Debai,800757,5,Municipality,749,Debai,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248882,Deoband,Deoband,800637,5,Municipality,704,Deoband,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249460,Deoria,Deoria,801175,5,Municipality,190371,Barawa,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248919,Dhampur,Dhampur,800672,5,Municipality,715,Dhampur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248946,Dhanaura,Dhanaura,800698,5,Municipality,729,Dhanaura,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249098,Etah,Etah,801262,5,Municipality,1008,Etah,Subistrict,Partial,2024-10-14 08:43:46
